date,new_cases,new_deaths
2019-12-31,27,0
2020-01-01,0,0
2020-01-02,0,0
2020-01-03,17,0
2020-01-04,0,0
2020-01-05,15,0
2020-01-06,0,0
2020-01-07,0,0
2020-01-08,0,0
2020-01-09,0,0
2020-01-10,0,0
2020-01-11,0,1
2020-01-12,0,0
2020-01-13,0,0
2020-01-14,0,0
2020-01-15,0,1
2020-01-16,0,0
2020-01-17,4,0
2020-01-18,17,0
2020-01-19,136,1
2020-01-20,19,0
2020-01-21,151,3
2020-01-22,140,11
2020-01-23,97,0
2020-01-24,259,9
2020-01-25,441,15
2020-01-26,665,15
2020-01-27,787,25
2020-01-28,1753,25
2020-01-29,1466,26
2020-01-30,1740,38
2020-01-31,1980,43
2020-02-01,2095,46
2020-02-02,2590,45
2020-02-03,2812,57
2020-02-04,3237,65
2020-02-05,3872,66
2020-02-06,3727,72
2020-02-07,3160,73
2020-02-08,3418,86
2020-02-09,2607,89
2020-02-10,2974,97
2020-02-11,2490,108
2020-02-12,2028,97
2020-02-13,15141,254
2020-02-14,4156,13
2020-02-15,2538,143
2020-02-16,2007,142
2020-02-17,2052,105
2020-02-18,1890,98
2020-02-19,1750,139
2020-02-20,394,112
2020-02-21,891,118
2020-02-22,826,109
2020-02-23,647,98
2020-02-24,218,150
2020-02-25,515,70
2020-02-26,410,52
2020-02-27,439,29
2020-02-28,329,44
2020-02-29,428,47
2020-03-01,574,35
2020-03-02,205,42
2020-03-03,127,32
2020-03-04,119,37
2020-03-05,117,31
2020-03-06,170,30
2020-03-07,101,28
2020-03-08,46,27
2020-03-09,45,23
2020-03-10,20,17
2020-03-11,29,22
2020-03-12,24,11
2020-03-13,22,7
2020-03-14,19,15
2020-03-15,22,9
2020-03-16,25,13
2020-03-17,43,9
2020-03-18,23,16
2020-03-19,44,8
2020-03-20,99,4
2020-03-21,52,6
2020-03-22,65,6
2020-03-23,138,9
2020-03-24,69,7
2020-03-25,78,4
2020-03-26,102,6
2020-03-27,94,5
2020-03-28,119,3
2020-03-29,113,5
2020-03-30,98,2
2020-03-31,84,3
