location,total_cases
Afghanistan,141
Albania,223
Algeria,511
Andorra,370
Angola,7
Anguilla,2
Antigua and Barbuda,7
Argentina,966
Armenia,482
Australia,4557
Austria,9618
Azerbaijan,273
Bahamas,14
Bahrain,515
Bangladesh,49
Barbados,34
Belarus,105
Belgium,11899
Belize,3
Benin,6
Bermuda,27
Bhutan,4
Bolivia,107
Bosnia and Herzegovina,353
Brazil,4579
British Virgin Islands,3
Brunei,127
Bulgaria,359
Burkina Faso,222
Cambodia,109
Cameroon,142
Canada,7424
Cape Verde,5
Cayman Islands,12
Central African Republic,6
Chad,7
Chile,2449
China,82241
Colombia,798
Congo,19
Costa Rica,330
Cote d'Ivoire,168
Croatia,790
Cuba,170
Cyprus,230
Czech Republic,3002
Democratic Republic of Congo,98
Denmark,2577
Djibouti,26
Dominica,11
Dominican Republic,901
Ecuador,1966
Egypt,609
El Salvador,32
Equatorial Guinea,14
Eritrea,12
Estonia,715
Ethiopia,23
Faeroe Islands,168
Falkland Islands,0
Fiji,5
Finland,1313
France,44550
French Polynesia,36
Gabon,7
Gambia,4
Georgia,98
Germany,61913
Ghana,152
Gibraltar,69
Greece,1212
Greenland,10
Grenada,9
Guam,60
Guatemala,36
Guernsey,45
Guinea,16
Guinea-Bissau,2
Guyana,8
Haiti,15
Honduras,141
Hungary,447
Iceland,1086
India,1251
Indonesia,1414
Iran,41495
Iraq,630
Ireland,2910
Isle of Man,42
Israel,4473
Italy,101739
Jamaica,39
Japan,1953
Jersey,63
Jordan,268
Kazakhstan,325
Kenya,50
Kosovo,106
Kuwait,266
Kyrgyzstan,84
Laos,9
Latvia,376
Lebanon,446
Liberia,3
Libya,8
Liechtenstein,64
Lithuania,484
Luxembourg,1988
Macedonia,285
Madagascar,44
Malaysia,2626
Maldives,17
Mali,18
Malta,156
Mariana Islands,2
Mauritania,5
Mauritius,128
Mexico,1094
Moldova,298
Monaco,49
Mongolia,12
Montenegro,91
Montserrat,5
Morocco,556
Mozambique,8
Myanmar,14
Namibia,11
Nepal,5
Netherlands,11750
New Caledonia,16
New Zealand,647
Nicaragua,4
Niger,20
Nigeria,131
Norway,4226
Oman,179
Pakistan,1625
Palestine,115
Panama,1075
Papua New Guinea,1
Paraguay,65
Peru,950
Philippines,2084
Poland,2055
Portugal,6408
Puerto Rico,174
Qatar,693
Romania,1952
Russia,1836
Rwanda,70
Saint Kitts and Nevis,7
Saint Lucia,9
Saint Vincent and the Grenadines,1
San Marino,229
Saudi Arabia,1453
Senegal,162
Serbia,741
Seychelles,10
Singapore,844
Slovakia,336
Slovenia,763
Somalia,3
South Africa,1326
South Korea,9786
South Sudan,1
Spain,85195
Sri Lanka,120
Sudan,6
Suriname,8
Swaziland,9
Sweden,4028
Switzerland,15412
Syria,10
Taiwan,306
Tanzania,19
Thailand,1651
Timor,1
Togo,34
Trinidad and Tobago,85
Tunisia,312
Turkey,11535
Turks and Caicos Islands,5
Uganda,33
Ukraine,480
United Arab Emirates,611
United Kingdom,22141
United States,164620
Uruguay,320
Uzbekistan,149
Vatican,6
Venezuela,135
Vietnam,229
World,777798
Zambia,35
Zimbabwe,7
